id,title,url,headline,instructor,rating,num_reviews,num_subscribers,num_lectures,content_length,level,is_paid,last_update,published_time,image,topic
614772,The Complete Cyber Security Course : Hackers Exposed!,https://www.udemy.com/course/the-complete-internet-security-privacy-course-volume-1/,"Volume 1 : Become a Cyber Security Specialist, Learn How to Stop Hackers, Prevent Hacking,  Learn IT Security &  INFOSEC",Nathan House,4.553335,57993,315493,124,12 hours,All Levels,True,2024-03-24,2016-06-13T23:53:59Z,https://img-c.udemycdn.com/course/240x135/614772_233b_9.jpg,cyber-security
1236568,The Absolute Beginners Guide to Cyber Security 2026 - Part 1,https://www.udemy.com/course/the-absolute-beginners-guide-to-information-cyber-security/,"Learn Cyber Security concepts such as hacking, malware, firewalls, worms, phishing, encryption, biometrics, BYOD & more",Alexander Oni,4.6569605,56341,142883,56,5 hours,Beginner,True,2026-01-27,2017-06-27T18:56:26Z,https://img-c.udemycdn.com/course/240x135/1236568_5ada_11.jpg,cyber-security
4328166,Introduction to Cyber Security - 2 Hour Crash Course,https://www.udemy.com/course/cyberintro/,"A quick, engaging intro to Cyber Security. Learn all the basics in only two hours! Concise, clear lectures make it easy!",Rick Crisci,4.5666595,15038,43528,23,3 hours,Beginner,True,2026-02-26,2021-10-08T02:24:16Z,https://img-c.udemycdn.com/course/240x135/4328166_0767_3.jpg,cyber-security
875974,The Complete Cyber Security Course : Network Security!,https://www.udemy.com/course/network-security-course/,"Volume 2 : Network Security, WiFi Security, WiFi Hackers, Firewalls, Wireshark, Secure Networking. + Password Managers",Nathan House,4.5865707,20676,195390,106,12.5 hours,All Levels,True,2024-03-24,2016-07-08T17:16:32Z,https://img-c.udemycdn.com/course/240x135/875974_b66d_3.jpg,cyber-security
6199007,200 Days of GenAI Mastery: Elevate Your Work & Life with AI,https://www.udemy.com/course/30-days-of-genai-mastery-elevate-your-work-life-with-ai/,"ChatGPT, Midjourney, DALL-E, DeepSeek, HeyGen, Suno, Microsoft Copilot, Gemini, Runway and more!",Anton Voroniuk,4.5063615,404,38405,667,55.5 hours,Beginner,True,2026-02-24,2024-10-17T16:10:53Z,https://img-c.udemycdn.com/course/240x135/6199007_1109.jpg,cyber-security
1035000,Docker Mastery: with Kubernetes +Swarm from a Docker Captain,https://www.udemy.com/course/docker-mastery/,"Build, test, deploy containers with the best mega-course on Docker, Kubernetes, Compose, GitHub Actions CI using DevOps",Bret Fisher,4.664478,66546,343146,225,23 hours,All Levels,True,2025-09-28,2017-03-31T00:52:46Z,https://img-c.udemycdn.com/course/240x135/1035000_c1aa_9.jpg,docker
1332278,Docker for the Absolute Beginner - Hands On - DevOps,https://www.udemy.com/course/learn-docker/,Learn Docker with Hands On Coding Exercises. For beginners in DevOps,Mumshad Mannambeth,4.611127,70363,322875,54,4.5 hours,Beginner,True,2024-07-31,2017-09-07T05:52:18Z,https://img-c.udemycdn.com/course/240x135/1332278_4ea6_6.jpg,docker
3490000,Docker & Kubernetes: The Practical Guide,https://www.udemy.com/course/docker-kubernetes-the-practical-guide/,"Learn Docker, Docker Compose, Multi-Container Projects, Deployment and all about Kubernetes from the ground up!",Academind by Maximilian Schwarzmüller,4.727285,36761,244565,264,23.5 hours,All Levels,True,2026-01-16,2020-10-27T18:25:51Z,https://img-c.udemycdn.com/course/240x135/3490000_d298_2.jpg,docker
6641607,The Ultimate Docker Masterclass | Beginner to Advanced,https://www.udemy.com/course/docker-mastery-for-beginners-build-ship-deploy-apps/,"Build, Ship, and Deploy with Docker using 40+ Demos, 2 Capstone Projects, Quizzes & Assignments, and 340 Pages PDF Guide",DolfinED Academy,4.7425165,43,330,116,15.5 hours,All Levels,True,2026-01-01,2025-06-01T01:04:16Z,https://img-c.udemycdn.com/course/240x135/6641607_f891_5.jpg,docker
6422057,Self-Hosting with Docker & Linux: Run Your Own Services,https://www.udemy.com/course/self-hosting-docker-linux/,"Replace SaaS tools, take control of your data, and run your own private infrastructure using open source software.",Jason Cannon,4.606582,188,1382,55,4.5 hours,Beginner,True,2026-03-02,2025-06-15T15:08:09Z,https://img-c.udemycdn.com/course/240x135/6422057_b305.jpg,docker
